CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
789612820,04/22/2016,02:49:00,04/22/2016,02:50:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,FRONT OF,STREET,,,1009499,180090,40.660954372,-73.908995402,"(40.660954372, -73.908995402)"
818210404,04/22/2016,02:45:00,04/22/2016,02:55:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,90,,STREET,,,994982,199591,40.71450964,-73.96128857,"(40.71450964, -73.96128857)"
866744126,04/22/2016,02:45:00,04/22/2016,02:55:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,94,,STREET,,,995640,200402,40.716734818,-73.958913636,"(40.716734818, -73.958913636)"
240277353,04/22/2016,02:35:00,04/22/2016,02:40:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,115,FRONT OF,STREET,,,1016544,216375,40.760525107,-73.883428798,"(40.760525107, -73.883428798)"
732117342,04/22/2016,00:45:00,04/22/2016,01:00:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1042812,197786,40.709368057,-73.788770476,"(40.709368057, -73.788770476)"
767159284,04/22/2016,00:30:00,04/22/2016,00:30:00,04/22/2016,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,GROCERY/BODEGA,,,999866,168487,40.629128867,-73.943742878,"(40.629128867, -73.943742878)"
580815332,04/22/2016,00:25:00,04/22/2016,00:49:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,FRONT OF,STREET,,,1013526,254309,40.864653806,-73.894157507,"(40.864653806, -73.894157507)"
773895494,04/22/2016,00:18:00,04/22/2016,00:19:00,04/22/2016,105,ROBBERY,390,"ROBBERY,HOME INVASION",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,111,FRONT OF,RESIDENCE - APT. HOUSE,,,1054711,207486,40.735905349,-73.745749892,"(40.735905349, -73.745749892)"
807995163,04/22/2016,00:05:00,04/22/2016,00:20:00,04/22/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,111,FRONT OF,RESIDENCE-HOUSE,,,1056449,216455,40.760508876,-73.739382242,"(40.760508876, -73.739382242)"
331878342,04/21/2016,23:30:00,04/21/2016,23:40:00,04/22/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,,STREET,,,996870,232828,40.805734189,-73.954415718,"(40.805734189, -73.954415718)"
644291665,04/21/2016,23:20:00,04/21/2016,23:26:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47,FRONT OF,STREET,,,1029107,256270,40.869970725,-73.837813207,"(40.869970725, -73.837813207)"
466114044,04/21/2016,23:10:00,04/21/2016,23:45:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1007866,238993,40.82263284,-73.914674495,"(40.82263284, -73.914674495)"
960533360,04/21/2016,22:30:00,04/21/2016,22:35:00,04/22/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,40,,STREET,,,1007921,232776,40.805568769,-73.9144977,"(40.805568769, -73.9144977)"
222871123,04/21/2016,19:00:00,04/21/2016,19:10:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,FRONT OF,STREET,,,988050,214940,40.756644557,-73.986285275,"(40.756644557, -73.986285275)"
864031258,04/21/2016,18:00:00,04/21/2016,18:10:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,,STREET,,,992091,189763,40.687537111,-73.971728534,"(40.687537111, -73.971728534)"
580896549,04/21/2016,16:30:00,04/21/2016,16:35:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,FRONT OF,STREET,,,1002694,184461,40.672968582,-73.933510984,"(40.672968582, -73.933510984)"
418606479,04/21/2016,14:30:00,,,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,REAR OF,PUBLIC SCHOOL,,,1009519,238585,40.821508422,-73.908703582,"(40.821508422, -73.908703582)"
