INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC
2014291922.0,2014291922521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-06-08 00:08:00,,2014-06-08 01:44:59,3093 W CENTER AVE,3133244.0,1682370.0,-105.0264244,39.7059534,4,412,westwood,1,0
2014114807.0,2014114807521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-03-06 04:08:00,,2014-03-06 04:15:00,2260 S HOOKER WAY,3132708.0,1671464.0,-105.0285306,39.6760215,4,421,harvey-park,1,0
2014107529.0,2014107529521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-03-02 00:49:00,,2014-03-02 01:05:00,27 N FEDERAL BLVD,3133488.0,1686453.0,-105.0254814,39.7171586,4,411,barnum,1,0
2014105963.0,2014105963521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-03-01 03:10:00,,2014-03-01 04:47:00,2871 S YATES ST,3126558.0,1666856.0,-105.0504602,39.6634569,4,423,harvey-park-south,1,0
2014299283.0,2014299283521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-06-12 00:01:00,2014-06-12 00:10:00,2014-06-12 00:43:59,1300 BLOCK W 44TH AVE,3139534.0,1708102.0,-105.0035691,39.7765002,1,112,sunnyside,1,0
2013625873.0,2013625873521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2013-12-30 03:20:00,2013-12-30 03:24:59,2013-12-30 03:46:59,3000 BLK N ADAMS ST,3154873.0,1701958.0,-104.9491302,39.7593913,2,213,skyland,1,0
2014460269.0,2014460269521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-08-31 20:00:00,,2014-08-31 21:24:59,,3213055.0,1708918.0,-104.7419836,39.7773468,5,513,gateway-green-valley-ranch,1,0
2014401107.0,2014401107521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-08-01 23:35:00,,2014-08-02 02:04:59,3800 BLK N HIGH ST,3150520.0,1706238.0,-104.9645234,39.771212,2,211,cole,1,0
201389870.0,201389870521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2013-02-24 06:20:00,,2013-02-24 07:41:00,3725 S DEPEW ST,3124582.0,1661767.0,-105.057567,39.6495129,4,423,fort-logan,1,0
20135487.0,20135487521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2013-01-01 03:30:00,,2013-01-04 13:59:00,620 N FEDERAL BLVD,3133641.0,1689734.0,-105.0248765,39.7261634,1,122,sun-valley,1,0
2014151805.0,2014151805521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-03-25 15:30:00,2014-03-25 15:36:59,2014-03-25 16:37:00,,3165537.0,1681644.0,-104.9116682,39.7034422,3,321,washington-virginia-vale,1,0
201421605.0,201421605521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-01-13 19:05:00,,2014-01-13 20:35:00,8000 E 12TH AVE,3169812.0,1692979.0,-104.8962072,39.7344819,2,223,east-colfax,1,0
2013501390.0,2013501390521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2013-10-17 18:00:00,,2013-10-17 18:00:00,N FEDERAL BLVD / N SPEER BLVD,3133475.0,1702152.0,-105.0252359,39.7602555,1,113,west-highland,1,0
